symbol,context,meaning,context_len,n_interps
Rope,To dream that you are splicing a rope, indicates that you are reaching out to someone who needs your help.,37,5
Rosary,To see or hold a rosary in your dream," symbolizes comfort, solace, or satisfaction. It is also connected to the act of giving and asking.",37,2
Rosary,"If you dream of someone giving you a rosary, ","then it highlights your compassion for others. Since you are always there for your loved ones, it is time they reciprocate.",45,2
Rose Garden,To dream that you are in a rose garden, indicates that you are feeling satisfied and happy about some waking situation.,38,1
Rosebush,To see a rosebush in your dream, indicates that you are involved in some prickly situation.,31,1
Rosemary,To see rosemary in your dream, symbolizes sadness and remembrance. You are reflecting on something in your dream.,29,1
Roses,To see roses in your dream," signify faithfulness in love and the coming of joy in some area of your life. Roses also symbolize love, passion, desire, femininity, unity, and romance, particularly if they are red roses. If you see a white rose, then it symbolizes virginity, pureness, and secrecy. It you see a yellow rose, then it refers to infidelity, jealousy, or friendship. If the rose is pink, then it means fresh love and new romance. According to Freud, the rose represents the female genitalia.",26,6
Roses,To see withered roses in your dream," refers to the parting or absence of a loved one. Alternatively, it is symbolic of death or an end to something.",35,6
Roses,Dreaming that a red rose is melting into a clear liquid, means that you are feeling deceived by love. It is symbolic of faked or forced passion.,55,6
Roses,To smell roses in your dream, denote happiness and pleasure. The dream is telling you that you need to slow down and smell the roses or else you will miss out on some opportunity or event in your life.,28,6
Roses,To see thorny roses in your dream," suggest that you are having difficulties or issues in your personal relationship. Alternatively, the dream indicates that you need to overcome some sticky or prickly situation before you can reap the benefits, as represented by the rose.",33,6
Roses,To see burning roses in your dream," symbolizes your passion. However, your passion can also destroy if not kept in check. You become consumed by your passion.",34,6
Rosette,To dream that you or someone is wearing rosettes, indicate that you are wasting your time on frivolous pursuits. You will regret the opportunities that you are missing out on.,48,1
Rotate,#Ref:spinning,#Ref:spinning,13,1
Rotten,To dream that something is rotten, suggests that you are wasting away your potential. You have failed to make use of the opportunities that have come your way.,33,1
Rottweiler,To see a rottweiler in your dream," symbolizes confidence, protection, and courage. If the rottweiler is growling, then it indicates that you are experiencing some inner conflict. There is something that you are afraid to confront.",33,1
Rouge,To dream that you are wearing or putting on rouge," symbolizes some form of deception. You are trying to get your way by tricking others. If rouge is rubbing off of your face, then it suggests that your true self is being revealed. Your intentions will be made known.",49,2
